self_employed,income_annum,loan_amount,loan_term,cibil_score,assets,loan_status
No,765321,2166250,15,732,1156733,Approved
Yes,444184,1907600,15,728,1061981,Rejected
Yes,614631,434300,15,751,1565078,Approved
No,1162821,2749050,20,735,1231620,Approved
Yes,840776,2660270,20,670,1681215,Rejected
No,857401,2268340,15,742,462667,Approved
No,800182,3562960,20,722,1269418,Rejected
Yes,609421,1850980,20,754,836742,Approved
No,1011258,2386280,15,676,1130142,Rejected
No,885892,1247190,10,770,1483498,Approved
Yes,883230,363780,10,739,1107281,Approved
Yes,1065958,415170,15,715,1046163,Approved
No,664300,851240,15,725,1364001,Approved
No,1205024,2193200,15,692,1041385,Rejected
No,915921,1716360,10,769,1579687,Approved
Yes,441974,2039680,10,762,811047,Rejected
No,542807,2643500,20,802,639109,Rejected
No,1046354,1047980,10,768,1058628,Approved
No,685999,2913480,10,704,1371853,Rejected
No,886893,2343220,15,719,563038,Approved
No,264374,1268660,15,740,1120323,Rejected
Yes,626544,3041550,15,710,52636,Rejected
No,1006606,656720,10,703,1313234,Approved
No,738781,1204710,15,725,1558041,Approved
No,389182,2170410,20,675,737547,Rejected
Yes,637725,782450,10,734,1368990,Approved
No,649134,3288560,10,720,1154890,Rejected
No,645477,1069560,10,648,514533,Rejected
No,1164297,2196190,15,658,1164872,Rejected
No,1140076,3534220,10,717,164708,Rejected
No,441281,3796610,10,780,839513,Rejected
No,471579,1497190,10,748,1359614,Approved
Yes,745104,2833530,15,746,1287521,Rejected
Yes,718319,2624440,20,760,656034,Rejected
No,530161,1789140,10,640,1437009,Rejected
Yes,873784,2005110,15,670,1736414,Rejected
No,1073673,2397270,10,803,247622,Rejected
No,974495,3621210,10,712,976988,Rejected
No,507581,1281100,15,648,373003,Rejected
No,1081660,2520080,15,751,1108328,Approved
No,452076,2155840,20,693,1077682,Rejected
Yes,835178,2833460,15,765,1378769,Rejected
No,627979,1321450,15,747,328720,Approved
No,251107,2411420,10,701,1530669,Rejected
No,742183,725530,20,750,622840,Approved
No,570533,1660500,10,774,1068070,Approved
Yes,608874,2919560,10,652,157035,Rejected
Yes,671644,2699390,10,680,616536,Rejected
No,619325,2082460,10,771,871810,Rejected
No,424223,801080,10,728,2068521,Approved
Yes,515398,1237910,15,734,1147924,Approved
No,420195,2567130,20,652,832652,Rejected
No,248908,2177620,20,757,1455233,Rejected
No,566473,1666900,15,669,1263159,Rejected
Yes,395494,1686300,15,748,1092770,Rejected
No,534957,1472990,10,671,1739085,Rejected
Yes,1097331,2546170,10,764,1190816,Approved
Yes,770141,1762190,15,767,744743,Approved
No,603736,1884240,10,690,457051,Rejected
No,906683,2749190,15,784,719271,Approved
No,581504,2629660,10,667,1485086,Rejected
Yes,436028,1303320,20,718,1180855,Approved
Yes,785365,1940250,15,777,1269623,Approved
Yes,805272,877330,10,720,1261055,Approved
Yes,337906,1408220,15,680,1010330,Rejected
Yes,997343,2297230,20,670,993297,Rejected
No,553717,1715760,15,682,1271304,Rejected
No,1045416,2027860,20,727,721246,Approved
No,543964,2041960,20,779,1037009,Rejected
Yes,755713,710510,15,731,1006322,Approved
No,782781,3059050,20,691,1607754,Rejected
No,711844,1696230,10,570,650367,Rejected
No,574496,1976310,10,680,391360,Rejected
No,997773,2662770,10,682,885982,Rejected
No,468406,2546060,10,706,454403,Rejected
Yes,702252,1827210,15,767,-60926,Rejected
No,771449,1326020,15,690,1024773,Rejected
No,591556,1973970,10,611,1494299,Rejected
No,639285,2919950,20,672,812039,Rejected
No,709691,1593430,15,715,1684905,Approved
No,831627,2101150,10,670,1237638,Rejected
No,848300,1697770,20,702,1195846,Approved
No,524917,1079390,10,800,1362506,Approved
No,761258,1023840,15,715,1460474,Approved
No,639039,3823900,10,789,1377263,Rejected
Yes,909184,2667450,15,790,1223203,Approved
No,809510,4048210,10,740,1208042,Rejected
No,1001008,1675390,15,713,926574,Approved
Yes,630033,2102460,15,735,634795,Rejected
Yes,816416,1347140,10,713,972065,Approved
No,1057828,1596250,15,744,1807724,Approved
No,987612,2698400,10,779,1193738,Approved
No,327579,2247250,15,722,1023807,Rejected
No,1072276,2854370,15,770,436076,Rejected
Yes,591618,1755410,10,711,396938,Approved
No,600426,2167440,10,655,683319,Rejected
No,764241,2808250,20,639,574535,Rejected
No,598758,1979690,15,700,1345530,Approved
No,930890,2122040,10,721,1331851,Approved
No,525911,1934640,15,683,1540857,Rejected
No,881514,486550,10,751,843166,Approved
No,764699,3117760,15,744,826259,Rejected
No,736014,2834690,10,737,790199,Rejected
No,831805,3966490,20,730,690389,Rejected
No,708827,2443850,10,718,278748,Rejected
Yes,719478,1166670,20,885,696367,Approved
No,830556,1382600,20,717,926306,Approved
No,997586,1998440,15,747,522374,Approved
No,427324,2106840,10,724,577961,Rejected
No,782335,2129750,20,787,1736959,Approved
No,979647,1183510,10,670,628421,Rejected
No,638439,1925410,10,657,1227022,Rejected
No,651929,3265460,10,703,935315,Rejected
No,1018886,1673920,15,701,847481,Approved
No,316502,2395830,15,712,784008,Rejected
No,659115,379350,10,778,1147683,Approved
No,878699,3074020,10,734,315652,Rejected
No,289670,1846860,15,655,754909,Rejected
No,708950,1939700,15,671,739460,Rejected
No,750630,2172560,10,731,1029894,Approved
No,1062744,3246500,15,696,1497944,Rejected
No,933101,2417340,20,617,1258419,Rejected
No,959497,2179060,15,731,462340,Approved
Yes,505588,1708010,20,803,1285417,Rejected
No,631234,1863690,10,763,1422403,Approved
No,1101185,2680490,10,673,1337970,Rejected
No,727992,3103640,10,714,803827,Rejected
No,933677,1164310,10,822,826024,Approved
No,811580,1188460,20,741,1230673,Approved
No,818244,2099480,20,679,532563,Rejected
No,747945,1346760,10,626,979154,Rejected
No,487901,2319620,10,764,1266768,Rejected
Yes,928379,1751870,10,688,1639685,Rejected
No,672970,770420,15,689,986021,Rejected
No,831797,2008210,15,765,1093137,Approved
No,828169,2378810,10,695,1114904,Rejected
No,951348,2019830,10,776,354389,Rejected
No,772524,2349360,10,687,802860,Rejected
No,383082,2337120,15,636,481284,Rejected
Yes,477418,990960,20,738,1329504,Approved
Yes,902098,2141060,20,693,1107183,Rejected
No,598355,2213480,15,634,600008,Rejected
No,800788,1115440,15,687,1242906,Rejected
No,818741,3377030,10,695,1128825,Rejected
No,922883,2077930,10,734,1376170,Approved
No,702314,1287440,10,750,1219303,Approved
No,656645,2848130,20,750,745591,Rejected
Yes,617494,1281630,10,718,982638,Approved
No,740209,2101230,10,660,936242,Rejected
No,859876,1186110,10,712,1079254,Approved
No,845175,1702570,10,726,499252,Approved
Yes,865820,2516730,10,677,1018401,Rejected
No,1097188,1030620,20,577,759227,Rejected
No,920934,976050,10,728,1365837,Approved
No,1029136,1518870,10,640,1033510,Rejected
No,827688,56790,15,782,1024167,Approved
Yes,661425,2091850,10,710,1103093,Approved
No,1209400,158890,10,676,444183,Rejected
No,630244,2923120,10,717,1493021,Rejected
No,825330,2119260,20,719,1611264,Approved
No,1030628,3249590,15,730,1415832,Approved
No,531199,1356590,10,708,912065,Approved
No,735307,1461680,15,589,1973520,Rejected
No,869089,2630810,20,644,1131543,Rejected
Yes,646466,973040,10,706,651038,Approved
No,823468,1627550,15,705,1430370,Approved
No,339290,3290480,10,746,640030,Rejected
Yes,926233,2616170,10,822,958621,Approved
No,928100,1640500,10,763,500269,Approved
No,446656,1216340,15,713,1365954,Approved
No,1065719,1510120,15,726,1508725,Approved
No,598538,719370,10,677,1610476,Rejected
No,808119,1689910,15,786,1080306,Approved
Yes,841161,1894330,15,718,887405,Approved
No,1043344,1740960,15,688,760309,Rejected
Yes,490850,764400,20,783,1505702,Approved
Yes,781327,2057790,15,688,1234426,Rejected
Yes,275490,1906390,10,705,726508,Rejected
No,1150248,1613410,15,701,631723,Approved
No,297591,1928450,10,766,1029844,Rejected
No,889746,1915510,15,703,486932,Approved
Yes,912633,1151200,10,744,332064,Approved
No,728955,1699830,10,760,426294,Approved
No,812286,2764370,15,853,1022039,Rejected
No,754977,2461340,15,648,815754,Rejected
No,1108284,2717010,15,790,736331,Approved
Yes,722367,1609650,20,655,1040906,Rejected
No,569232,2572680,15,755,225201,Rejected
No,789058,3335170,10,706,599756,Rejected
No,894475,1687350,15,820,790758,Approved
No,980220,1984350,15,734,753461,Approved
Yes,535316,2011860,10,747,1358678,Rejected
No,672232,2388360,15,646,1034148,Rejected
Yes,965626,1366090,15,734,871177,Approved
No,778275,2560510,15,859,706592,Approved
No,976010,2174610,15,719,1437259,Approved
No,733396,1640270,15,774,220309,Rejected
No,477830,1122160,15,582,658810,Rejected
No,564327,1856200,15,672,944797,Rejected
No,428214,2264840,15,723,84300,Rejected
No,950357,2072210,20,804,1167193,Approved
Yes,705618,2113150,10,797,1396572,Approved
No,706894,2304740,20,654,385356,Rejected
Yes,649168,2876080,15,721,1275425,Rejected
No,1203093,2554230,15,746,799529,Approved
No,767677,1711400,15,676,1025015,Rejected
No,437655,1462570,10,840,497020,Rejected
No,657649,1365760,10,774,1004127,Approved
No,886079,3156820,15,740,1129891,Rejected
No,864620,1815890,20,704,1065575,Approved
No,633224,3727770,10,727,1443343,Rejected
No,457154,1284870,20,742,1413926,Approved
No,942101,1118870,20,704,950816,Approved
Yes,1105825,3094470,10,741,916083,Approved
No,786477,2596600,15,760,1436262,Approved
Yes,678080,1588350,15,677,916170,Rejected
No,567840,2377450,10,701,76492,Rejected
No,710976,1588150,15,781,1134991,Approved
Yes,788995,2027390,15,712,875198,Approved
Yes,611813,3064980,15,832,1553306,Rejected
No,799901,664830,15,693,1028899,Rejected
No,783887,177520,15,766,769362,Approved
No,325234,1804580,15,693,201037,Rejected
No,944107,1688870,20,702,612372,Approved
No,773642,2306300,15,712,1307098,Approved
No,967733,2731110,10,781,1061890,Approved
Yes,376674,1323470,20,778,636702,Rejected
No,950735,2280520,15,596,731091,Rejected
No,652508,2222030,10,739,1187738,Rejected
No,641337,1843060,15,759,1259288,Approved
No,1104455,2531060,20,695,482291,Rejected
No,766122,1465000,15,718,1416570,Approved
Yes,778165,2782260,10,781,1870376,Rejected
No,545363,2462090,15,697,1128614,Rejected
No,676755,1302720,10,771,1510364,Approved
No,939360,1885660,20,673,1085543,Rejected
Yes,891128,2697830,20,616,601177,Rejected
No,903739,2305590,20,719,1142542,Approved
Yes,652071,2166870,10,760,1127976,Approved
Yes,472026,2648110,10,742,-93576,Rejected
No,896229,923050,15,852,451210,Approved
No,595250,1325830,10,732,1208291,Approved
No,718166,3032890,15,758,911991,Rejected
Yes,808038,3275450,15,671,1623938,Rejected
No,513274,2216930,10,791,433966,Rejected
Yes,1005604,2050100,10,716,669957,Approved
No,1168490,2017510,20,688,816953,Rejected
No,722891,2464870,10,754,1262556,Rejected
No,684141,3158950,15,775,1509113,Rejected
No,795136,2085570,15,848,1303381,Approved
No,659423,1707760,15,779,873792,Approved
No,655080,2419920,10,722,699635,Rejected
No,543657,2612270,15,709,915665,Rejected
No,663122,1664740,15,757,1163674,Approved
No,875076,1973200,15,666,354756,Rejected
No,1282650,655520,10,728,1237725,Approved
No,1088338,3007340,15,734,546207,Rejected
No,854902,1938460,10,774,1847209,Approved
No,641499,2003360,10,790,1414573,Approved
No,998936,573860,20,650,1086372,Rejected
No,485461,2195070,20,741,1323038,Rejected
No,1082270,2887200,20,754,118462,Rejected
No,785528,1782430,15,684,85387,Rejected
No,416883,2189450,10,726,848409,Rejected
Yes,941460,1972220,15,748,1024505,Approved
No,460389,1198830,10,738,966918,Approved
No,684039,1701990,10,603,957391,Rejected
Yes,1118755,2276270,10,725,828207,Approved
No,565793,2428880,20,655,992569,Rejected
No,843990,1057240,10,682,1213426,Rejected
No,716507,2110420,20,784,705712,Approved
Yes,675140,1979210,15,651,964236,Rejected
Yes,839911,2167950,15,722,1623382,Approved
Yes,379458,805170,20,689,1321791,Rejected
Yes,757200,1879750,10,777,1232232,Approved
No,542555,2756330,15,646,318853,Rejected
Yes,752103,1931490,10,769,1436937,Approved
No,342407,1948390,15,756,848023,Rejected
No,1065085,2844980,15,762,1136207,Approved
No,975554,851280,15,671,386949,Rejected
No,829149,3269740,10,808,1091994,Rejected
Yes,653176,-56920,20,767,1146747,Approved
Yes,528204,1525460,15,686,1514545,Rejected
No,455087,1087520,15,716,1362965,Approved
Yes,1031298,2297020,10,756,745125,Approved
No,744858,2019360,10,753,1163617,Approved
No,873019,2101900,10,728,1646537,Approved
No,719840,2969360,15,757,1052427,Rejected
No,1119306,2218960,10,702,369428,Rejected
No,878349,1642560,20,682,24213,Rejected
No,747941,1734070,20,642,936143,Rejected
Yes,963232,1572740,10,702,1332375,Approved
No,899970,865400,10,787,531349,Approved
Yes,850437,1703100,10,736,479220,Approved
No,951158,2111680,20,620,60171,Rejected
Yes,873985,2485810,10,720,1746297,Approved
Yes,829687,2043880,15,736,237893,Rejected
No,342079,1478170,20,728,1402678,Rejected
Yes,663734,984200,15,644,1148412,Rejected
No,671577,1790900,10,714,1221495,Approved
No,683096,2189720,10,646,1060845,Rejected
No,787407,1712350,20,719,1400490,Approved
No,817308,1906590,15,674,744337,Rejected
Yes,559747,1763120,10,672,686517,Rejected
No,704994,1577200,15,692,633133,Rejected
Yes,507250,1541070,10,697,1024056,Rejected
No,880435,2669870,10,679,1075449,Rejected
No,714266,1153920,10,659,1703427,Rejected
Yes,555561,2729820,15,706,877983,Rejected
Yes,881658,2570570,20,718,930614,Approved
No,1212046,2987060,20,661,612569,Rejected
No,676412,1983100,20,789,1042123,Approved
No,889533,1664850,10,671,985695,Rejected
Yes,466598,1956910,20,791,750876,Rejected
No,488726,1603420,15,792,425937,Approved
No,710522,1933830,10,689,916504,Rejected
Yes,956960,2310450,15,698,1703007,Rejected
No,1111587,2626370,10,680,1317314,Rejected
No,552616,2308870,15,709,1145205,Rejected
No,756335,133140,15,676,325281,Rejected
No,826060,1154080,15,840,1096904,Approved
No,755613,1502650,15,719,797864,Approved
No,633505,1583840,15,706,997130,Approved
No,487211,1066670,15,695,680969,Rejected
Yes,746096,2692760,10,767,621053,Rejected
No,1143668,2095270,10,709,1224260,Approved
No,832096,1811530,20,632,801496,Rejected
No,612505,1106130,20,827,633360,Approved
Yes,648366,2040500,15,711,344124,Rejected
No,707083,2393510,15,634,784258,Rejected
No,893774,1970000,15,745,868226,Approved
No,725781,3015970,10,722,1262518,Rejected
No,838047,426670,20,687,2017256,Rejected
No,910106,1636930,10,682,836258,Rejected
No,602700,2642700,10,781,1343143,Rejected
No,796372,2899890,15,779,1353775,Rejected
No,806382,1775390,20,717,1214316,Approved
No,1134981,2065540,15,740,912663,Approved
No,636140,1513640,15,672,1234848,Rejected
No,935721,891730,15,727,1521815,Approved
No,532282,1402740,15,695,1248940,Rejected
No,1056071,1155950,20,771,334105,Approved
Yes,1011696,2372210,20,680,962198,Rejected
No,815732,2877690,10,724,745519,Rejected
No,776615,862870,20,639,1536415,Rejected
No,781348,1728420,15,790,625275,Approved
Yes,721826,1533030,20,675,328551,Rejected
No,500930,1444410,20,747,1097538,Approved
Yes,891359,2597030,10,789,989117,Approved
No,685001,3707300,15,761,1393821,Rejected
Yes,708756,1721770,10,793,443127,Approved
Yes,1028265,2813740,10,677,671694,Rejected
No,692731,2034640,15,725,1291172,Approved
No,753255,1600500,15,771,1710948,Approved
Yes,264524,2966500,10,816,330173,Rejected
No,629567,1916740,10,734,1232794,Approved
No,810649,1904400,15,700,1206381,Approved
No,1023452,1378040,15,666,495265,Rejected
Yes,560292,1965550,10,848,1258691,Rejected
No,775914,1063260,10,693,489642,Rejected
No,571301,1611360,20,774,859332,Approved
No,892952,2120000,15,804,1764445,Approved
No,553443,1327600,15,755,385830,Approved
No,670346,2615270,15,709,1196991,Rejected
No,372882,1617730,15,757,-86144,Rejected
Yes,789014,1728220,10,697,1486555,Rejected
No,673553,1047750,20,663,923164,Rejected
No,758357,1317290,20,681,1093084,Rejected
No,590840,2527910,20,767,751254,Rejected
No,887748,1223730,15,743,715732,Approved
Yes,622155,3082080,10,729,1639243,Rejected
No,732157,940580,20,685,1445972,Rejected
Yes,1011208,2253790,15,707,1306873,Approved
No,574469,1178630,20,721,419603,Approved
No,1253500,2011810,15,776,597800,Approved
No,550202,1495360,10,690,1794814,Rejected
No,913377,1744750,15,750,603257,Approved
Yes,731716,2091410,15,744,1180208,Approved
Yes,840863,1908570,10,713,695771,Approved
No,731624,2880200,15,680,955952,Rejected
No,896750,2675750,15,710,520610,Rejected
No,633530,2817830,20,686,619866,Rejected
No,745755,3362530,10,644,534688,Rejected
Yes,834188,2854170,20,768,1511817,Rejected
No,1064813,2032460,15,681,1583889,Rejected
No,685513,2193190,10,737,685086,Approved
No,756380,4084370,20,778,1550019,Rejected
Yes,1045063,2418770,10,762,1476784,Approved
No,892101,2207180,15,676,332037,Rejected
Yes,934472,2612350,10,816,932687,Approved
Yes,947358,2497960,15,783,1337628,Approved
No,1221619,3561980,15,675,1188698,Rejected
Yes,666150,1581200,10,656,1435278,Rejected
No,503293,1107460,10,740,430528,Approved
No,913774,2498050,10,682,416677,Rejected
Yes,767905,1707490,10,680,1334337,Rejected
No,737486,1167370,15,754,1391639,Approved
No,688746,1305450,15,811,1794846,Approved
No,593403,2747270,20,694,1100310,Rejected
Yes,871963,2348850,15,808,482473,Approved
Yes,528420,1658780,15,681,64623,Rejected
Yes,854175,1731100,15,740,1535640,Approved
Yes,582012,1435440,15,762,1444877,Approved
No,950767,434900,10,729,1079397,Approved
No,507518,2576260,10,695,479888,Rejected
No,667995,2681140,15,733,932311,Rejected
No,570107,3059630,10,671,1098963,Rejected
No,882746,2991380,15,716,1125353,Rejected
No,738548,1754160,15,765,1038332,Approved
No,650450,2340210,10,797,1606207,Rejected
No,419685,3258510,10,691,1377854,Rejected
No,569439,1393210,10,679,992938,Rejected
No,772801,1788480,20,763,703547,Approved
No,626063,1678740,15,709,726629,Approved
Yes,868054,2766310,10,725,863181,Approved
No,883358,2030410,15,813,532464,Approved
No,773202,976460,20,768,843693,Approved
Yes,649490,2230910,15,736,998400,Rejected
No,742323,1813440,15,780,800610,Approved
No,928222,1594120,10,749,1371134,Approved
Yes,899783,3670090,10,792,804209,Rejected
No,844597,2312890,15,625,746144,Rejected
No,761138,1356910,10,721,1041361,Approved
No,734437,2226780,10,841,722456,Approved
No,443468,2153070,10,805,452550,Rejected
No,646202,2331370,20,654,1515600,Rejected
No,465628,2723450,10,693,1176410,Rejected
No,690505,2223800,15,800,955376,Approved
No,798696,1957470,20,680,415154,Rejected
No,858695,453690,10,679,696913,Rejected
Yes,924530,2248820,15,704,956672,Approved
Yes,778547,2243670,20,700,1448185,Approved
No,895204,1690900,15,728,1357570,Approved
No,676876,1284860,10,745,1130721,Approved
No,810550,1180700,20,717,112886,Rejected
No,403212,1801170,10,683,1398454,Rejected
No,663470,1027090,20,634,866389,Rejected
No,665495,1760210,20,663,200358,Rejected
No,715586,1105110,15,647,1357167,Rejected
No,524582,1992690,10,696,1086765,Rejected
No,391140,2182070,15,696,1075949,Rejected
No,687142,2749570,15,798,657183,Rejected
No,831606,2049970,15,714,872191,Approved
No,923194,655280,10,714,1077093,Approved
No,1040128,2342860,15,718,1075357,Approved
No,970974,2280530,15,717,878416,Approved
Yes,536332,2487060,10,732,740844,Rejected
No,801595,1548070,20,679,315928,Rejected
No,962034,1038540,10,766,1205511,Approved
No,851127,1783790,15,777,1161314,Approved
No,484893,2016720,10,666,674746,Rejected
No,784045,1222580,10,720,733094,Approved
Yes,881361,2460840,10,694,307372,Rejected
No,418159,891090,15,702,1029302,Approved
No,605836,1413890,20,738,1144851,Approved
No,831444,1129240,15,658,1362022,Rejected
No,767989,3188980,20,740,562841,Rejected
Yes,537481,2845130,10,683,611194,Rejected
No,962436,2281750,10,690,861268,Rejected
No,852528,2038840,10,788,379280,Rejected
No,570116,2776220,10,665,1308500,Rejected
Yes,771878,1006650,15,739,904500,Approved
No,668606,2534540,10,727,883007,Rejected
No,935366,1783290,10,791,860893,Approved
Yes,861182,1786180,10,709,664058,Approved
Yes,983885,1863840,10,687,1045741,Rejected
No,809288,2264910,15,759,1778268,Approved
Yes,798806,2478830,15,714,1590254,Approved
No,607537,2250660,15,674,873596,Rejected
No,696776,1110680,20,775,1080901,Approved
Yes,827745,2934480,15,777,1233676,Rejected
No,848221,2142520,20,662,1737461,Rejected
No,566243,2670680,15,679,1062624,Rejected
No,950163,2609240,10,725,1230543,Approved
No,789690,2219620,15,695,809761,Rejected
No,859504,2160190,10,690,697948,Rejected
No,767065,1433820,15,683,1138032,Rejected
Yes,613846,605630,15,742,833751,Approved
No,935193,1078310,15,713,392297,Approved
No,1177900,1157260,20,836,1263568,Approved
No,449882,2516920,15,725,1544534,Rejected
Yes,583473,2563290,10,682,1034693,Rejected
No,603794,2552670,10,731,1129736,Rejected
No,846379,1690040,15,758,616248,Approved
Yes,911281,2046280,10,673,1065870,Rejected
No,862891,1736980,15,701,1163873,Approved
No,866066,2006380,20,713,458562,Approved
No,611550,2292110,20,739,819458,Rejected
No,598106,1114850,10,663,1397783,Rejected
Yes,808495,2180300,10,744,457897,Approved
No,769886,2687270,15,720,924118,Rejected
No,583410,679580,10,697,210036,Rejected
No,485205,1827480,15,677,711745,Rejected
Yes,1075587,2801270,20,750,1021930,Approved
Yes,965077,2475930,10,760,654225,Approved
No,280741,1736650,10,621,480316,Rejected
No,449465,1638830,15,699,1185199,Rejected
No,510061,2181020,10,748,829908,Rejected
No,669276,2690670,10,752,707570,Rejected
Yes,517829,1595660,10,722,846190,Approved
No,695514,1535250,15,795,818181,Approved
No,525840,1771470,10,704,437254,Rejected
No,896008,3075100,10,725,1981460,Rejected
No,642645,3334830,10,716,1781696,Rejected
Yes,1115431,2024680,15,700,688217,Approved
No,433381,475380,15,729,948635,Approved
Yes,823784,1918300,10,749,1390213,Approved
Yes,612232,2039160,15,783,507839,Approved
Yes,530283,-159730,15,774,613916,Approved
Yes,1130234,2343250,10,809,1427687,Approved
No,827976,1241300,15,707,1231950,Approved
No,872419,2511240,10,647,1020012,Rejected
Yes,730113,912030,10,646,539236,Rejected
No,702844,2230810,10,658,1513421,Rejected
Yes,921858,1878900,20,711,1464902,Approved
No,915431,2969470,10,787,812876,Approved
No,736842,1219980,10,733,1489284,Approved
No,852832,2252100,20,758,378387,Rejected
No,794802,1204240,15,766,1311571,Approved
No,892999,2338340,10,814,1998471,Approved
Yes,632281,2427940,15,825,1767740,Rejected
Yes,1246324,2208630,10,690,1176541,Rejected
No,756236,1716240,15,722,1457533,Approved
No,811134,1483320,10,911,1186615,Approved
No,890020,2144420,20,730,957944,Approved
No,941441,2488960,15,732,1165886,Approved
No,909315,968020,20,679,724866,Rejected
Yes,1076718,1523410,20,713,897437,Approved
No,844064,2206770,15,680,425114,Rejected
Yes,609407,1602150,20,652,899620,Rejected
No,1258214,2990670,15,686,1060038,Rejected
No,880334,478070,15,767,426768,Approved
No,530569,2802600,20,746,657807,Rejected
No,532740,2707450,20,697,1007708,Rejected
Yes,1098462,1598630,15,821,1516708,Approved
Yes,728458,2232280,15,686,522956,Rejected
Yes,734649,1168250,15,691,710680,Rejected
No,651736,2925160,10,675,889370,Rejected
No,771703,3066420,10,655,1408490,Rejected
Yes,742911,1551430,10,746,115772,Rejected
No,1140972,1112450,15,707,1017341,Approved
No,1036362,3004220,10,680,767843,Rejected
No,582545,3078980,10,699,858686,Rejected
No,880057,2717100,15,771,60928,Rejected
Yes,627994,1290630,20,678,1682229,Rejected
No,411502,4042140,10,714,824257,Rejected
Yes,465249,1893900,15,752,332712,Rejected
Yes,944253,2607630,15,722,238599,Rejected
No,546761,1304080,20,745,994515,Approved
No,842917,1171430,10,750,558027,Approved
Yes,743377,1928510,20,735,1103688,Approved
No,670068,1717430,15,687,2012707,Rejected
Yes,707085,2153790,10,717,920378,Approved
Yes,466175,1199180,15,794,1234279,Approved
No,561788,1014600,10,662,782613,Rejected
No,981046,2835030,20,675,1277685,Rejected
No,591015,3449010,15,770,1272033,Rejected
No,773179,2117250,20,666,974507,Rejected
No,701037,1499440,15,748,1569367,Approved
No,1064141,1501910,10,734,753001,Approved
Yes,993989,2564100,15,700,836819,Approved
No,1092391,2590770,10,679,1296928,Rejected
No,1210946,1775480,15,698,1250599,Rejected
No,857501,2852680,15,743,922156,Approved
Yes,743545,2732460,10,598,482879,Rejected
No,225707,2387490,15,646,1281877,Rejected
No,799058,2269840,10,728,-59609,Rejected
Yes,515509,2575530,10,771,1142420,Rejected
No,949398,1618480,20,799,1198979,Approved
Yes,920520,1592800,20,714,1481886,Approved
Yes,759751,3440350,15,638,1688830,Rejected
Yes,728812,2653400,10,728,730926,Rejected
Yes,1019366,1859770,10,628,1310722,Rejected
No,285988,1763040,15,776,612493,Rejected
No,1013366,2052800,10,713,1013537,Approved
No,602653,2134300,15,768,1267768,Rejected
Yes,662421,2191240,15,812,1128643,Approved
No,949909,1731390,10,670,839358,Rejected
Yes,851168,1305010,10,752,667137,Approved
Yes,885942,1985550,10,729,1265212,Approved
No,772056,1252070,10,598,285675,Rejected
No,756824,2647830,10,702,812924,Rejected
No,660072,2271050,15,662,754184,Rejected
No,982877,2572460,15,781,549696,Approved
No,911960,3599560,10,779,1171888,Rejected
No,697534,418340,10,727,929453,Approved
No,1070892,2883050,10,764,496077,Rejected
No,964331,2384160,10,761,884888,Approved
No,872059,1334670,10,634,973739,Rejected
Yes,598851,2297890,20,608,984725,Rejected
No,415754,2051290,15,744,824472,Rejected
No,609943,1862240,10,724,1411329,Approved
No,829921,1603810,15,679,1301149,Rejected
No,639548,1574490,15,730,1094521,Approved
No,852605,1758030,15,688,1069159,Rejected
Yes,701410,1338330,10,795,1225973,Approved
Yes,856576,1563110,20,747,1025725,Approved
Yes,796430,2134850,10,684,1141407,Rejected
No,849031,2462210,15,681,912350,Rejected
No,635729,2639570,15,862,1804889,Rejected
No,879375,2610980,15,687,1261458,Rejected
No,899252,1266220,15,680,1320696,Rejected
Yes,710243,1507620,10,726,795383,Approved
Yes,897721,2460450,15,719,1475021,Approved
No,570488,2080200,20,724,856569,Rejected
Yes,671158,2227470,15,723,1537231,Approved
No,875121,968720,15,667,1591059,Rejected
Yes,621970,1371330,20,628,657959,Rejected
No,555643,2298020,20,618,1663644,Rejected
No,586690,2706460,10,741,1152249,Rejected
No,758478,658160,20,722,1603680,Approved
Yes,819574,3059520,15,759,1185395,Rejected
No,730767,1848150,10,684,755464,Rejected
Yes,887033,645960,15,741,1423636,Approved
No,921172,375830,15,799,689237,Approved
No,859864,1055990,15,702,1166016,Approved
No,767334,846770,20,707,1466153,Approved
No,628890,1876440,20,662,262937,Rejected
No,817510,2140890,10,758,782679,Approved
No,1104320,2635650,15,753,2334104,Approved
Yes,633550,1513630,20,715,600914,Approved
No,733399,1154080,15,630,893660,Rejected
No,816629,1475720,10,773,1356457,Approved
No,527526,1653350,10,678,835217,Rejected
No,803317,2689000,20,657,1477903,Rejected
No,1117488,1647780,15,728,1642720,Approved
No,816032,1425220,20,679,1479981,Rejected
No,722262,3105430,15,635,187620,Rejected
No,956481,2978990,15,695,1247253,Rejected
No,901072,2465170,10,724,1363432,Approved
No,900464,3004140,10,776,1094966,Rejected
No,1080563,1609570,10,702,1342794,Approved
No,555977,3913580,15,616,1113743,Rejected
Yes,864637,3393210,10,716,603802,Rejected
No,902883,2124910,10,771,946367,Approved
No,855061,1999860,10,672,1398931,Rejected
No,653162,1872360,15,838,1331975,Approved
Yes,631203,2299360,20,782,610971,Rejected
No,917101,1908780,10,744,1108161,Approved
No,753556,3535480,20,751,962471,Rejected
No,856376,2911160,15,733,900793,Rejected
No,531052,2120320,10,649,1426297,Rejected
No,593850,2755860,10,643,1178989,Rejected
No,1016501,2619440,20,732,935997,Approved
No,679467,1648100,10,636,1275935,Rejected
